"reference","study","sample","exposure","exposure_time","exposure_period","iq_test","iq_wechsler","iq_mccarthy","age_tested","age_period_tested","model type","model n","orig_effect_size","orig_ci_lower","orig_ci_upper","exposure_level","exposure_type","exposure_standard_ugm3","standardised_effect_size","standardised_ci_lower","standardised_ci_upper"
1,"Chiu et al. (2016)","Total","PM2.5","Averaged across sensitive window","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Distributed lag model",267,-0.65,-1.41,0.1,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",1,-6.5,-14.1,1
1,"Chiu et al. (2016)","Total","PM2.5","Averaged over entire pregnancy","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Distributed lag model",267,-1.02,-2.78,0.74,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",1,-10.2,-27.8,7.4
1,"Chiu et al. (2016)","Boys","PM2.5","Averaged across sensitive window","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Distributed lag model",148,-1,-1.97,-0.01,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",1,-10,-19.7,-0.1
1,"Chiu et al. (2016)","Boys","PM2.5","Averaged over entire pregnancy","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Distributed lag model",148,-0.9,-2.7,0.9,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",1,-9,-27,9
1,"Chiu et al. (2016)","Girls","PM2.5","Averaged across sensitive window","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Distributed lag model",119,0.14,-0.87,1.29,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",1,1.4,-8.7,12.9
1,"Chiu et al. (2016)","Girls","PM2.5","Averaged over entire pregnancy","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Distributed lag model",119,0.08,-2.1,2.18,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",1,0.8,-21,21.8
1,"Chiu et al. (2016)","Boys","PM2.5","1st trimester","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Linear regression model",148,-0.24,-1.59,1.11,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",10,-0.24,-1.59,1.11
1,"Chiu et al. (2016)","Boys","PM2.5","2nd trimester","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Linear regression model",148,-0.05,-1.54,1.44,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",10,-0.05,-1.54,1.44
1,"Chiu et al. (2016)","Boys","PM2.5","3rd trimester","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Linear regression model",148,-1.45,-2.92,0.02,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",10,-1.45,-2.92,0.02
1,"Chiu et al. (2016)","Girls","PM2.5","1st trimester","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Linear regression model",119,0.55,-1.06,2.16,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",10,0.55,-1.06,2.16
1,"Chiu et al. (2016)","Girls","PM2.5","2nd trimester","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Linear regression model",119,-1.11,-2.72,0.5,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",10,-1.11,-2.72,0.5
1,"Chiu et al. (2016)","Girls","PM2.5","3rd trimester","pre-natal","WISC-IV","Wechsler version","no","6.5 years","4 to 7 years","Linear regression model",119,0.41,-1.28,2.1,"Change in full-scale IQ per unit increase ","micrograms per cubic meter",10,0.41,-1.28,2.1
3,"Guilbert et al. (2023)","Total","PM2.5","4 weeks","pre-natal","WPPSI-III & WISC-IV","Wechsler version","no","5.7 years","4 to 7 years","Distributed lag nonlinear model",1271,0.03,0,0.06,"per 10  μg/m3 increase","micrograms per cubic meter",10,0.03,0,0.06
